Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C201","100u","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",107.900000,-66.600000,0.000000,bottom
"C202","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",103.300000,-66.600000,0.000000,bottom
"C203","47u","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",144.700000,-77.900000,0.000000,bottom
"C204","47u","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",135.700000,-77.900000,0.000000,bottom
"C205","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",106.100000,-121.000000,270.000000,bottom
"C206","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",110.000000,-117.900000,0.000000,bottom
"C207","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",113.900000,-121.000000,90.000000,bottom
"C301","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.200000,-75.700000,0.000000,bottom
"C302","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.200000,-73.700000,0.000000,bottom
"C303","100u","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",131.900000,-66.000000,90.000000,bottom
"C304","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",123.100000,-58.000000,180.000000,bottom
"C305","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.000000,-58.000000,0.000000,bottom
"C306","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.000000,-62.000000,0.000000,bottom
"C307","470n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",119.200000,-67.300000,180.000000,bottom
"C308","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.900000,-61.900000,0.000000,bottom
"C309","22p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",124.100000,-76.100000,270.000000,bottom
"C401","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",160.200000,-87.400000,90.000000,bottom
"C402","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",153.500000,-86.500000,0.000000,bottom
"C403","100u","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",152.700000,-83.000000,270.000000,bottom
"C404","500p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",161.800000,-68.400000,0.000000,bottom
"C501","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",132.000000,-116.762500,270.000000,bottom
"C502","47n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.500000,-117.800000,0.000000,bottom
"C503","4n7","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",142.700000,-117.800000,0.000000,bottom
"C504","470p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",138.900000,-117.800000,0.000000,bottom
"C505","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.700000,-120.000000,90.000000,bottom
"C506","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.700000,-104.000000,90.000000,bottom
"C507","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.700000,-100.000000,90.000000,bottom
"C508","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.700000,-108.000000,90.000000,bottom
"C509","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.700000,-112.000000,90.000000,bottom
"C510","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.700000,-116.000000,90.000000,bottom
"C601","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",150.700000,-137.300000,90.000000,bottom
"C701","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",120.800000,-138.800000,270.000000,bottom
"C702","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",125.400000,-139.900000,180.000000,bottom
"C703","100p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",118.800000,-135.000000,90.000000,bottom
"D301","1N4148WS","D_SOD-323",126.900000,-64.000000,0.000000,bottom
"D302","1N4148WS","D_SOD-323",123.100000,-64.000000,0.000000,bottom
"D401","1N4148WS","D_SOD-323",149.700000,-65.600000,90.000000,bottom
